ville1,pays1,latitude1,longitude1,ville2,pays2,latitude2,longitude2,distance
Paris, France,48.8534951,2.3483915,Londres, Angleterre,51.5073219,-0.1276474,343.7031788540028
Berlin, Allemagne,52.5170365,13.3888599,Oslo, Norvège,59.9133301,10.7389701,838.4197535921445
Paris, France,48.8534951,2.3483915,Berlin, Allemagne,52.5170365,13.3888599,876.7487318907749
Londres, Angleterre,51.5073219,-0.1276474,Berlin, Allemagne,52.5170365,13.3888599,930.4603188327794
Pékin, Chine,40.190632,116.412144,Séoul, Corée du Sud,37.5666791,126.9782914,959.3323623771519
Hong Kong, Chine,22.2793278,114.1628131,Manille, Philippines,14.5906346,120.9799964,1116.686481236343
Buenos Aires, Argentine,-34.6037181,-58.38153,Santiago, Chili,-33.4377756,-70.6504502,1137.419753833003
Londres, Angleterre,51.5073219,-0.1276474,Oslo, Norvège,59.9133301,10.7389701,1153.226110696296
Tokyo, Japon,35.6821936,139.762221,Séoul, Corée du Sud,37.5666791,126.9782914,1158.969031246531
Paris, France,48.8534951,2.3483915,Oslo, Norvège,59.9133301,10.7389701,1342.0048666615558
Los Angeles, États-Unis d'Amérique,34.0536909,-118.242766,Vancouver, Canada,49.2608724,-123.113952,1737.7626491615408
Reykjavik, Islande,64.145981,-21.9422367,Oslo, Norvège,59.9133301,10.7389701,1746.417287713565
Berlin, Allemagne,52.5170365,13.3888599,Athènes, Grèce,37.9755648,23.7348324,1804.2464417849549
Londres, Angleterre,51.5073219,-0.1276474,Reykjavik, Islande,64.145981,-21.9422367,1889.6953798997708
Rio de Janeiro, Brésil,-22.9110137,-43.2093727,Buenos Aires, Argentine,-34.6037181,-58.38153,1964.7870626551123
Hong Kong, Chine,22.2793278,114.1628131,Pékin, Chine,40.190632,116.412144,2002.8982305938248
Hong Kong, Chine,22.2793278,114.1628131,Séoul, Corée du Sud,37.5666791,126.9782914,2096.4811612250005
Paris, France,48.8534951,2.3483915,Athènes, Grèce,37.9755648,23.7348324,2097.0283390999216
Tokyo, Japon,35.6821936,139.762221,Pékin, Chine,40.190632,116.412144,2101.53600152369
